"","district","state","year.x","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","Dist Code","year.y","State Code","icr2017_area","icr2017_prod","icr2017_yield","f.it"
"1","Adilabad","Telangana",2019,422,10589,2957,8936,13.17,143.99,251.78,251.78,647.55,7199.42,0.7223,0.2773,4e-04,0.0857,0.124,0.4356,0.3547,0.0362,0.9464,0.0174,"1.2","-0.84","0.3","-0.96","2.3","-0.86","5","-0.62","0","-1","120.3","-0.36","394.6","0.23",289.7,-0.09,212.1,0.26,79.8,0.02,"2.5","-0.83","0.6","-0.95",205.607,770377,221.12,63,2017,20,227.94,195.72,34698.3,0.0577783627270334
"2","Adilabad","Telangana",2018,308,6861,1497,6022,8.91,79.99,212.27,212.27,504.53,3999.74,0.7445,0.2552,3e-04,0.0552,0.0751,0.5256,0.3441,0.0246,0.9443,0.0311,"0","-1","14.1","1.05","3.9","-0.74","39.1","1.92","60.1","1.9","286.4","0.51","370.7","0.14",543.6,0.72,128.2,-0.24,0,-1,"0","-1","13.2","0.52",199.733,446319,193.75,63,2017,20,227.94,195.72,34698.3,0.0390892340089497
"3","Agar Malwa","Madhya Pradesh",2020,239,56222,62355,9679,142.25,1365.58,3072.59,3072.59,7510.76,68279.18,0.8714,0.1276,0.001,0.068,0.0124,0.6776,0.242,0.1597,0.5222,0.3181,"16.3","1.51","0","-1","11.3","1.58","0","-1","0","-1","242.7","1.66","188.6","-0.3",467.4,0.57,82.8,-0.46,2.6,-0.89,"0","-1","14.3","0.45",182.974,100813.67,6.56,2058,2017,6,319.13,536.5,18514,0.445743114091436
"4","Agar Malwa","Madhya Pradesh",2019,240,49490,64931,14,140.28,1009.88,2524.45,2524.45,6058.78,50493.99,0.8829,0.1159,0.0012,0.0678,0.0131,0.6711,0.248,0.1505,0.5026,0.3469,"0","-1","0","-1","0","-1","12","6.06","0","-1","69.6","-0.24","314.4","0.17",688.4,1.31,782.6,4.09,60.2,1.48,"2","-0.81","0","-1",179.586,124503,5.41,2058,2017,6,319.13,536.5,18514,0.439570081158149
"5","Agar Malwa","Madhya Pradesh",2018,239,51184,53526,70,135.97,1305.11,5871.37,5871.37,13047.85,65255.52,0.8779,0.1206,0.0015,0.0836,0.0138,0.6013,0.3013,0.2432,0.4239,0.3329,"0","-1","0","-1","0","-1","0","-1","0","-1","115.6","0.21","388.5","0.3",154.4,-0.51,161.5,-0.01,0,-1,"0","-1","0","-1",184.012,148316,8.65,2058,2017,6,319.13,536.5,18514,0.426064613167048
"6","Agar Malwa","Madhya Pradesh",2021,239,59169,88831,218,168.96,1622.04,5271.64,5271.64,12165.32,81102.03,0.8866,0.1125,9e-04,0.0583,0.0107,0.677,0.254,0.1702,0.5125,0.3173,"3.1","-0.53","0","-1","0","-1","0","-1","50.1","7.5","85.4","-0.07","401.9","0.49",348.3,0.17,388.6,1.53,72.1,1.97,"0","-1","1.8","-0.82",181.719,115960,6.59,2058,2017,6,319.13,536.5,18514,0.529439413405195
"7","Agra","Uttar Pradesh",2020,504,9886,10581,117,7.56,72.06,111.57,111.57,295.2,3602.84,0.9109,0.0886,5e-04,0.0344,0.0068,0.4081,0.5507,0.2472,0.6194,0.1334,"20.1","1.01","0.1","-0.99","24.9","3.52","7.2","0.63","32.4","2.08","42.6","-0.21","90.5","-0.54",175.5,-0.23,13.3,-0.88,0,-1,"12.5","1.55","0","-1",125.234,303492.82,29.66,196,2017,12,388.27,999.14,28959,0.0194709866845237
"8","Agra","Uttar Pradesh",2019,608,20911,22967,69,20.95,97.1,69.63,69.63,236.36,4854.92,0.9243,0.0753,4e-04,0.0367,0.0053,0.3772,0.5808,0.3114,0.6037,0.0849,"14.6","0.46","17.1","0.55","4.2","-0.23","11.4","1.59","2.3","-0.78","16.2","-0.7","206.6","0.05",159.4,-0.3,113.3,0.02,11.7,-0.39,"16.9","2.44","12.6","1.79",127.721,325894.1,93.5,196,2017,12,388.27,999.14,28959,0.0539572977567157
"9","Agra","Uttar Pradesh",2018,653,33644,35550,51,32.82,186,93.64,93.64,373.28,9300.1,0.9113,0.0882,5e-04,0.0688,0.0033,0.2809,0.647,0.2847,0.6739,0.0414,"1","-0.94","1.3","-0.87","0","-1","52.9","12.22","20.2","1.17","43.7","-0.19","360.6","0.59",187.5,-0.33,137.7,0.1,1.8,-0.94,"0.1","-0.98","1.5","-0.69",123.499,288769,79.84,196,2017,12,388.27,999.14,28959,0.0845288072732892
"10","Ahmedabad","Gujarat",2019,1,1,1,1,0,0,0,0,0,0.05,1,0,0,0,0,0,1,0.5,0.5,0,"0","-1","0","-1","0","-1","0.7","-0.14","0","-1","72.6","-0.31","83.1","-0.66",353.5,0.57,216.6,0.8,47.9,2.66,"3.9","-0.43","0","-1",303.365,553918,18.9,121,2017,3,527.98,875.94,22587,0
"11","Ajmer","Rajasthan",2021,540,89239,544466,1100,108.16,860.32,3749.18,3749.18,8358.68,38132.96,0.8675,0.1314,0.0011,0.0849,0.0433,0.7647,0.1071,0.1536,0.6527,0.1937,"12.5","3.64","0","-1","1.6","-0.34","0","-1","94.9","8.21","43.5","-0.05","104","-0.37",150.7,0,159.9,1.68,15.6,1.36,"3.5","-0.12","0.9","-0.54",410.905,355188.35,13.63,139,2017,10,705.68,642.49,25693,0.153270604239882
"12","Ajmer","Rajasthan",2018,504,53767,110117,30,99.21,1081.29,3576.45,3576.45,8234.19,42750.89,0.869,0.1301,9e-04,0.1147,0.0381,0.7113,0.1359,0.1245,0.6102,0.2653,"0","-1","0","-1","0","-1","0.3","-0.88","1.9","-0.79","52","0.19","147.8","-0.14",94.1,-0.39,127.1,1.12,0.1,-0.99,"0","-1","0.2","-0.88",402.08,408906,16.51,139,2017,10,705.68,642.49,25693,0.140587801836526
