"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"1","2017","14","Chhattisgarh","Durg","126.84","173.19","1365.0","6.78","6.94","1023.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.02","0.02","1222.0","0.02","0.01","333.0","0.45","0.84","1864.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","15.04","11.41","759.0","1.34","0.43","322.0","12.57","7.04","560.0","-1.0","-1.0","-1.0","0.05","0.01","280.0","0.98","0.36","364.0","0.01","0.0","200.0","-1.0","-1.0","-1.0","0.11","0.02","188.0","-1.0","-1.0","-1.0","3.71","1.48","398.0","-1.0","-1.0","-1.0","0.32","0.0","1.0","0.17","0.05","267.0","-1.0","-1.0","-1.0","-1.0","0.01","-1.0"
"2","2017","14","Chhattisgarh","Bastar","131.77","173.93","1320.0","0.44","0.85","1949.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.16","0.33","2122.0","-1.0","-1.0","-1.0","9.3","30.35","3264.0","1.54","0.34","222.0","-1.0","-1.0","-1.0","0.26","0.27","1011.0","0.38","0.19","507.0","4.98","2.12","425.0","0.0","0.01","1750.0","0.13","0.05","409.0","1.0","0.61","610.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.01","0.0","286.0","0.04","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.68","0.1","153.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.02","0.09","-1.0"
"3","2017","14","Chhattisgarh","Raipur","162.42","329.78","2030.0","4.32","7.44","1725.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.4","0.77","1918.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","4.19","4.98","1190.0","0.36","0.11","290.0","16.08","8.34","519.0","0.06","0.08","1306.0","0.27","0.09","315.0","1.34","0.6","451.0","0.03","0.01","379.0","-1.0","-1.0","-1.0","0.07","0.02","247.0","-1.0","-1.0","-1.0","0.15","0.08","560.0","-1.0","-1.0","-1.0","0.17","0.04","222.0","0.03","0.01","360.0","-1.0","-1.0","-1.0","0.06","0.12","-1.0"
"4","2017","14","Chhattisgarh","Bilaspur","217.58","245.06","1126.0","6.26","9.16","1465.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.28","0.41","1450.0","0.02","0.01","438.0","2.52","4.96","1971.0","-1.0","-1.0","-1.0","0.02","0.01","556.0","1.95","1.91","982.0","1.53","0.64","419.0","10.17","5.73","563.0","0.93","1.35","1453.0","0.51","0.16","313.0","1.35","0.51","375.0","0.01","0.0","250.0","-1.0","-1.0","-1.0","0.77","0.18","235.0","0.04","-1.0","-1.0","0.06","0.03","466.0","-1.0","-1.0","-1.0","0.06","0.0","75.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.18","0.12","-1.0"
"5","2017","14","Chhattisgarh","Raigarh","227.21","407.75","1795.0","3.0","5.29","1761.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.01","2000.0","0.01","0.0","429.0","0.86","2.13","2487.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.42","0.43","1033.0","2.27","1.01","446.0","24.42","6.93","284.0","5.86","7.8","1332.0","2.49","0.99","397.0","1.29","0.61","474.0","0.01","0.0","250.0","-1.0","-1.0","-1.0","0.27","0.07","264.0","0.7","-1.0","-1.0","0.01","0.0","600.0","-1.0","-1.0","-1.0","0.33","0.06","193.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.93","0.08","-1.0"
"6","2017","14","Chhattisgarh","Surguja","116.71","173.3","1485.0","5.41","8.2","1516.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.13","0.16","1203.0","-1.0","-1.0","-1.0","9.03","19.32","2141.0","0.0","0.0","250.0","0.08","0.07","961.0","1.4","1.06","758.0","3.72","1.5","404.0","8.53","2.69","315.0","2.64","3.25","1229.0","0.25","0.07","288.0","5.58","2.64","473.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2.78","0.68","243.0","0.02","0.0","87.0","0.0","0.0","250.0","-1.0","-1.0","-1.0","1.97","0.5","251.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2.4","0.56","-1.0"
"7","2017","6","Madhya Pradesh","Jabalpur","109.0","271.62","2492.0","171.56","647.64","3775.0","0.04","0.1","2500.0","-1.0","-1.0","-1.0","0.04","0.1","2500.0","0.0","0.0","0.0","7.0","17.53","2504.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","72.9","152.0","2085.0","12.19","10.62","871.0","134.35","177.75","1323.0","0.14","0.13","929.0","1.0","0.39","390.0","11.7","9.36","800.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","0.91","700.0","0.0","0.0","0.0","7.0","3.34","477.0","-1.0","-1.0","-1.0","3.37","1.79","530.0","0.0","0.0","0.0","1.36","13.57","14.93","2.85","1.89","0.47"
"8","2017","6","Madhya Pradesh","Balaghat","220.21","395.48","1796.0","55.56","138.12","2486.0","0.0","0.0","0.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","10.04","29.37","2925.0","-1.0","-1.0","-1.0","0.3","0.48","1600.0","61.0","91.2","1495.0","8.7","15.66","1800.0","46.47","37.21","801.0","0.03","0.03","1000.0","2.0","1.75","875.0","20.37","6.21","305.0","0.3","0.17","567.0","0.01","0.0","0.0","20.86","7.8","374.0","0.0","0.0","0.0","0.01","0.01","1000.0","-1.0","-1.0","-1.0","3.7","1.91","515.0","0.0","0.0","0.0","0.19","3.17","3.36","0.95","0.45","0.16"
"9","2017","6","Madhya Pradesh","Chhindwara","34.01","42.06","1237.0","181.0","619.2","3421.0","14.0","32.9","2350.0","-1.0","-1.0","-1.0","14.0","32.9","2350.0","0.0","0.0","0.0","263.5","1326.45","5034.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","66.0","105.6","1600.0","38.9","46.68","1200.0","21.4","20.29","948.0","16.44","24.83","1510.0","2.5","1.75","700.0","3.5","5.95","1700.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","1.65","1100.0","0.0","0.0","0.0","28.0","49.95","1784.0","-1.0","-1.0","-1.0","11.0","4.4","400.0","47.6","9.6","202.0","8.64","20.72","29.36","8.56","3.59","0.49"
"10","2017","6","Madhya Pradesh","Narsinghpur","39.1","181.3","4637.0","92.0","320.71","3486.0","0.8","1.46","1825.0","-1.0","-1.0","-1.0","0.8","1.46","1825.0","1.0","2.54","2540.0","5.0","8.84","1768.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","101.5","152.86","1506.0","62.5","103.0","1648.0","125.88","148.15","1177.0","0.02","0.04","2000.0","0.4","0.34","850.0","2.5","2.98","1192.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","1000.0","0.0","0.0","0.0","43.5","13.62","313.0","-1.0","-1.0","-1.0","51.1","30.07","588.0","0.0","0.0","0.0","0.12","5.22","5.34","1.64","1.7","1.04"
