"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"7","2017","6","Madhya Pradesh","Jabalpur","54.33","135.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.74","0.02","36.46","78.22","0.0","0.0","0.0","3.38","0.0","11.3","0.362"
"8","2017","6","Madhya Pradesh","Balaghat","150.87","10.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.68","0.0","0.54","3.23","0.34","0.0","0.0","2.36","0.0","2.24","0.154"
"9","2017","6","Madhya Pradesh","Chhindwara","0.21","167.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.48","0.69","5.93","29.1","0.28","0.0","0.07","7.14","4.64","27.55","0.121"
"10","2017","6","Madhya Pradesh","Narsinghpur","27.63","95.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83.86","0.0","25.37","109.23","0.0","0.0","0.0","58.68","0.0","4.29","0.72"
"11","2017","6","Madhya Pradesh","Seoni","39.02","143.98","0.0","0.0","0.0","0.0","0.35","0.0","0.0","15.57","0.0","4.22","19.78","0.02","0.1","0.02","0.88","0.0","4.93","0.009"
"12","2017","6","Madhya Pradesh","Mandla","23.59","26.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.41","0.0","0.1","0.51","0.0","0.0","0.01","2.81","0.0","1.71","0.009"
"13","2017","6","Madhya Pradesh","Sagar","0.0","230.22","0.01","0.0","0.01","0.0","0.0","0.0","0.76","108.34","0.0","42.7","151.05","0.0","0.0","0.16","0.29","0.0","8.88","0.0"
"14","2017","6","Madhya Pradesh","Damoh","3.77","98.79","0.0","0.0","0.0","0.0","0.0","0.0","0.01","97.58","0.0","2.43","100.0","0.0","0.0","0.0","0.04","0.0","0.8","0.0"
"15","2017","6","Madhya Pradesh","Tikamgarh","0.0","97.35","0.0","0.0","0.0","0.0","0.0","0.0","6.15","7.32","0.0","4.87","12.19","14.91","0.0","0.02","0.14","0.0","4.73","0.434"
"16","2017","6","Madhya Pradesh","Chhatarpur","0.0","173.07","0.0","0.0","0.0","0.0","0.0","0.0","12.31","35.78","0.0","10.88","46.66","0.01","0.0","5.53","0.09","0.0","4.47","6.873"
