"","district","state","year","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","area_max97","icr2017_area","icr2017_prod","icr2017_yield","jan.normal","feb.normal","mar.normal","apr.normal","may.normal","jun.normal","jul.normal","aug.normal","sep.normal","oct.normal","nov.normal","dec.normal","annual.normal","f.it","jan.rfdev","feb.rfdev","mar.rfdev","apr.rfdev","may.rfdev","jun.rfdev","jul.rfdev","aug.rfdev","sep.rfdev","oct.rfdev","nov.rfdev","dec.rfdev","cdsp.jan.mintemp","cdsp.jan.maxtemp","cdsp.feb.mintemp","cdsp.feb.maxtemp","cdsp.mar.mintemp","cdsp.mar.maxtemp","cdsp.apr.mintemp","cdsp.apr.maxtemp","cdsp.may.mintemp","cdsp.may.maxtemp","cdsp.jun.mintemp","cdsp.jun.maxtemp","cdsp.jul.mintemp","cdsp.jul.maxtemp","cdsp.aug.mintemp","cdsp.aug.maxtemp","cdsp.sep.mintemp","cdsp.sep.maxtemp","cdsp.oct.mintemp","cdsp.oct.maxtemp","cdsp.nov.mintemp","cdsp.nov.maxtemp","cdsp.dec.mintemp","cdsp.dec.maxtemp"
"1","Adilabad","Telangana",2018,308,6861,1497,6022,8.91,79.99,212.27,212.27,504.53,3999.74,0.7445,0.2552,3e-04,0.0552,0.0751,0.5256,0.3441,0.0246,0.9443,0.0311,0,-1,0.0141,1.05,0.0039,-0.74,0.0391,1.92,0.0601,1.9,0.2864,0.51,0.3707,0.14,0.5436,0.72,0.1282,-0.24,0,-1,0,-1,0.0132,0.52,199.733,446319,193.75,648.933,227.94,195.72,34698.3,0.006,0.021,0.014,0.019,0.018,0.157,0.289,0.203,0.183,0.065,0.013,0.004,0.992,0.0390892340089497,-1,-0.328571428571429,-0.721428571428572,1.05789473684211,2.33888888888889,0.824203821656051,0.282698961937716,1.67783251231527,-0.299453551912568,-1,-1,2.3,14.6,30.9666666666667,17.7666666666667,33.1666666666667,21.9666666666667,37.2,25.6,39.4333333333333,28.1,41.3333333333333,25.5,35.6333333333333,24,30.7666666666667,23.2666666666667,30.0666666666667,23.3333333333333,32.4,21.2,33.6333333333333,18.5666666666667,32.6,16.8,28.5333333333333
"2","Adilabad","Telangana",2019,422,10589,2957,8936,13.17,143.99,251.78,251.78,647.55,7199.42,0.7223,0.2773,4e-04,0.0857,0.124,0.4356,0.3547,0.0362,0.9464,0.0174,0.0012,-0.84,3e-04,-0.96,0.0023,-0.86,0.005,-0.62,0,-1,0.1203,-0.36,0.3946,0.23,0.2897,-0.09,0.2121,0.26,0.0798,0.02,0.0025,-0.83,6e-04,-0.95,205.607,770377,221.12,648.933,227.94,195.72,34698.3,0.006,0.021,0.014,0.019,0.018,0.157,0.289,0.203,0.183,0.065,0.013,0.004,0.992,0.0577783627270334,-0.8,-0.985714285714286,-0.835714285714286,-0.736842105263158,-1,-0.23375796178344,0.365397923875433,0.427093596059113,0.159016393442623,0.227692307692308,-0.807692307692308,-0.85,14.5,29.2333333333333,19.0333333333333,32.9,22.9666666666667,37.1,17.7,27.6333333333333,29.1333333333333,43.1666666666667,27.5333333333333,38.8,24.7666666666667,32.5666666666667,24.3,31,15.8666666666667,20.6333333333333,15.6666666666667,21.3,20,31.0333333333333,18.4,29.0333333333333
"3","Agra","Uttar Pradesh",2019,608,20911,22967,69,20.95,97.1,69.63,69.63,236.36,4854.92,0.9243,0.0753,4e-04,0.0367,0.0053,0.3772,0.5808,0.3114,0.6037,0.0849,0.0146,0.46,0.0171,0.55,0.0042,-0.23,0.0114,1.59,0.0023,-0.78,0.0162,-0.7,0.2066,0.05,0.1594,-0.3,0.1133,0.02,0.0117,-0.39,0.0169,2.44,0.0126,1.79,127.721,325894.1,93.5,467.908,388.27,999.14,28959,0.016,0.009,0.011,0.005,0.01,0.06,0.21,0.263,0.152,0.024,0.002,0.004,0.766,0.0539572977567157,-0.0875,0.9,-0.618181818181818,1.28,-0.77,-0.73,-0.0161904761904761,-0.393916349809886,-0.254605263157895,-0.5125,7.45,2.15,7.53888888888889,19.8222222222222,10.4444444444444,21.45,15.0944444444444,30.6333333333333,22.1555555555556,38.0277777777778,25.5777777777778,41.5611111111111,27.6666666666667,39.9333333333333,26.3388888888889,34.15,24.6944444444444,31.5277777777778,20.8722222222222,26.5777777777778,19.5722222222222,29.7277777777778,11.2388888888889,20.9944444444444,4.85555555555556,10.9555555555556
"4","Agra","Uttar Pradesh",2020,504,9886,10581,117,7.56,72.06,111.57,111.57,295.2,3602.84,0.9109,0.0886,5e-04,0.0344,0.0068,0.4081,0.5507,0.2472,0.6194,0.1334,0.0201,1.01,1e-04,-0.99,0.0249,3.52,0.0072,0.63,0.0324,2.08,0.0426,-0.21,0.0905,-0.54,0.1755,-0.23,0.0133,-0.88,0,-1,0.0125,1.55,0,-1,125.234,303492.82,29.66,467.908,388.27,999.14,28959,0.016,0.009,0.011,0.005,0.01,0.06,0.21,0.263,0.152,0.024,0.002,0.004,0.766,0.0194709866845237,0.25625,-0.988888888888889,1.26363636363636,0.44,2.24,-0.29,-0.569047619047619,-0.332699619771863,-0.9125,-1,5.25,-1,9.4,20.2,11.2,25.1,16.8,29.3,21.5,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Agra","Uttar Pradesh",2018,653,33644,35550,51,32.82,186,93.64,93.64,373.28,9300.1,0.9113,0.0882,5e-04,0.0688,0.0033,0.2809,0.647,0.2847,0.6739,0.0414,0.001,-0.94,0.0013,-0.87,0,-1,0.0529,12.22,0.0202,1.17,0.0437,-0.19,0.3606,0.59,0.1875,-0.33,0.1377,0.1,0.0018,-0.94,1e-04,-0.98,0.0015,-0.69,123.499,288769,79.84,467.908,388.27,999.14,28959,0.016,0.009,0.011,0.005,0.01,0.06,0.21,0.263,0.152,0.024,0.002,0.004,0.766,0.0845288072732892,-0.9375,-0.855555555555556,-1,9.58,1.02,-0.271666666666667,0.717142857142857,-0.287072243346008,-0.0940789473684211,-0.925,-0.95,-0.625,6.72777777777778,19.7944444444444,11.7777777777778,27.1333333333333,16.3722222222222,34.1722222222222,21.2777777777778,37.5666666666667,25.2333333333333,39.5833333333333,27.6777777777778,39.4833333333333,24.6666666666667,34.0166666666667,25.4777777777778,32.3555555555556,24.0444444444444,32.8055555555556,18.7833333333333,33.2444444444444,13.6833333333333,28.7333333333333,8.25555555555556,23.5277777777778
"6","Ahmadnagar","Maharashtra",2020,108,209614,130130,243006,208.02,1416.42,5249.17,5249.17,11914.76,59748.1,0.8122,0.1875,3e-04,0.0168,0.0154,0.1461,0.8217,0.0577,0.8507,0.0916,0,-1,0,-1,0.0122,3.51,0.0011,-0.7,0.0083,-0.55,0.2645,1.44,0.223,1.29,0.1049,0.1,0.262,0.78,0.1493,1.18,0.008,-0.66,NA,NA,610.86721,1051695.93,18.37,626.02619,2013.45,2663.97,29565,0.003,0,0.005,0.011,0.026,0.131,0.102,0.098,0.175,0.084,0.033,0.008,0.676,0.103315205244729,-1,NA,1.44,-0.9,-0.680769230769231,1.01908396946565,1.18627450980392,0.0704081632653061,0.497142857142857,0.777380952380953,-0.757575757575758,NA,7.3,14.8333333333333,17.65,31.6833333333333,9.9,17.3166666666667,3.81666666666667,6.45,4.01666666666667,6.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ahmadnagar","Maharashtra",2019,108,322908,104782,494752,392.62,2574.37,7246.71,7246.71,17067.79,99809.97,0.7956,0.2041,3e-04,0.0181,0.0071,0.1662,0.8086,0.0509,0.8952,0.0539,0,-1,0,-1,0,-1,0,-1,NA,NA,0.1127,0.04,0.1371,0.41,0.094,-0.01,0.1814,0.23,0.2446,2.58,0.027,0.15,1e-04,-0.98,567.503,382610,8.8,626.02619,2013.45,2663.97,29565,0.003,0,0.005,0.011,0.026,0.131,0.102,0.098,0.175,0.084,0.033,0.008,0.676,0.194998634185105,-1,NA,-1,-1,NA,-0.13969465648855,0.344117647058824,-0.0408163265306123,0.0365714285714287,1.91190476190476,-0.181818181818182,-0.9875,13.22,29.8,16.015,32,19.065,35.39,17.175,29.285,21.335,34.8,21.52,31.02,15.685,19.93,17.89,22.97,19.825,25.775,17.165,24.11,17.56,27.89,16.555,26.685
"8","Ahmadnagar","Maharashtra",2018,108,236888,122000,228622,270.13,1660.89,3466.63,3466.63,8594.15,66025.35,0.807,0.1926,4e-04,0.0136,0.0087,0.1445,0.8332,0.0756,0.8482,0.0762,0,-1,7e-04,-0.5,0,-1,0.0014,-0.74,0.0022,-0.9,0.1534,0.46,0.0587,-0.42,0.0835,-0.09,0.0405,-0.71,0.0056,-0.92,0.0203,-0.1,0,-1,497.408,300149,8.27,626.02619,2013.45,2663.97,29565,0.003,0,0.005,0.011,0.026,0.131,0.102,0.098,0.175,0.084,0.033,0.008,0.676,0.134162755469468,-1,Inf,-1,-0.872727272727273,-0.915384615384615,0.170992366412214,-0.424509803921569,-0.147959183673469,-0.768571428571428,-0.933333333333333,-0.384848484848485,-1,14.66,30.13,16.56,32.225,18.255,31.71,17.985,29.575,14.685,21.555,14.03,18.405,13.5,16.18,13.385,16.17,12.875,17.985,16.285,26.49,14.68,25.795,8.835,16.48
"9","Ahmedabad","Gujarat",2019,1,1,1,1,0,0,0,0,0,0.05,1,0,0,0,0,0,1,0.5,0.5,0,0,-1,0,-1,0,-1,7e-04,-0.14,0,-1,0.0726,-0.31,0.0831,-0.66,0.3535,0.57,0.2166,0.8,0.0479,2.66,0.0039,-0.43,0,-1,303.365,553918,18.9,423,527.98,875.94,22587,0.004,0,0.001,0.002,0.005,0.1,0.316,0.213,0.163,0.013,0.005,0.001,0.823,0,-1,NA,-1,-0.65,-1,-0.274,-0.737025316455696,0.65962441314554,0.328834355828221,2.68461538461538,-0.22,-1,11,27.9,13.9,30,18.8,34.7,24.9,41.1,27.1,41.6,27.8,39.3,27.3,36.7,25.6,31.6,25.5,32.3,22.9,33.5,20.7,32.1,15.1,27.7
"10","Ajmer","Rajasthan",2019,518,65087,132358,64,115.15,1223.37,4205.15,4205.15,9633.67,48960.95,0.8666,0.1323,0.0011,0.1071,0.0362,0.7267,0.13,0.1229,0.6186,0.2585,0.0097,2.61,2e-04,-0.93,1e-04,-0.96,0.0115,2.29,0.0041,-0.6,0.0312,-0.32,0.3106,0.9,0.3462,1.3,0.0757,0.27,0.0121,0.83,0.0036,-0.09,0.0068,2.56,405.211,342452,14.31,419.074,705.68,642.49,25693,0.012,0.006,0.006,0.003,0.009,0.067,0.187,0.175,0.071,0.017,0.004,0.002,0.559,0.163175943770548,-0.191666666666667,-0.966666666666667,-0.983333333333333,2.83333333333333,-0.544444444444445,-0.534328358208955,0.66096256684492,0.978285714285714,0.0661971830985917,-0.288235294117647,-0.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7125,21.7625,22.95,31.15,15.675,25.5375,NA,NA,NA,NA
